8-hour-bayer-650mg-tablet-extended-release|8-Hour Bayer 650mg Tablet, Extended Release|Aspirin|8-Hour Bayer|Tablet, Extended Release|650mg
relenza-5mg-powder|Relenza 5mg Powder|Zanamivir|Relenza|Powder|5mg
releuko-300mcg-0-5ml-solution|Releuko 300MCG/0.5mL Solution|Filgrastim-Ayow|Releuko|Solution|300MCG/0.5mL
releuko-300mcg-ml-vial-solution|Releuko 300MCG/mL/VIAL Solution|Filgrastim-Ayow|Releuko|Solution|300MCG/mL/VIAL
releuko-480mcg-0-8ml-solution|Releuko 480MCG/0.8mL Solution|Filgrastim-Ayow|Releuko|Solution|480MCG/0.8mL
releuko-480mcg-1-6ml-vial-solution|Releuko 480MCG/1.6mL/VIAL Solution|Filgrastim-Ayow|Releuko|Solution|480MCG/1.6mL/VIAL
relexxii-18mg-tablet-extended-release|Relexxii 18mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|18mg
relexxii-27mg-tablet-extended-release|Relexxii 27mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|27mg
relexxii-36mg-tablet-extended-release|Relexxii 36mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|36mg
relexxii-45mg-tablet-extended-release|Relexxii 45mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|45mg
relexxii-54mg-tablet-extended-release|Relexxii 54mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|54mg
relexxii-63mg-tablet-extended-release|Relexxii 63mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|63mg
relexxii-72mg-tablet-extended-release|Relexxii 72mg Tablet, Extended Release|Methylphenidate Hydrochloride|Relexxii|Tablet, Extended Release|72mg
relgaabi-100mg-capsule|Relgaabi 100mg Capsule|Gabapentin|Relgaabi|Capsule|100mg
relgaabi-200mg-capsule|Relgaabi 200mg Capsule|Gabapentin|Relgaabi|Capsule|200mg
relgaabi-300mg-capsule|Relgaabi 300mg Capsule|Gabapentin|Relgaabi|Capsule|300mg
relgaabi-400mg-capsule|Relgaabi 400mg Capsule|Gabapentin|Relgaabi|Capsule|400mg
relistor-12mg-0-6ml-12mg-0-6ml-solution|Relistor 12mg/0.6mL (12mg/0.6mL) Solution|Methylnaltrexone Bromide|Relistor|Solution|12mg/0.6mL (12mg/0.6mL)
relistor-150mg-tablet|Relistor 150mg Tablet|Methylnaltrexone Bromide|Relistor|Tablet|150mg
relistor-8mg-0-4ml-8mg-0-4ml-solution|Relistor 8mg/0.4mL (8mg/0.4mL) Solution|Methylnaltrexone Bromide|Relistor|Solution|8mg/0.4mL (8mg/0.4mL)
relpax-eq-20mg-base-tablet|Relpax EQ 20mg BASE Tablet|Eletriptan Hydrobromide|Relpax|Tablet|EQ 20mg BASE
relpax-eq-40mg-base-tablet|Relpax EQ 40mg BASE Tablet|Eletriptan Hydrobromide|Relpax|Tablet|EQ 40mg BASE
relyvrio-3gm-packet-1gm-packet-for-suspension|Relyvrio 3GM/PACKET / 1GM/PACKET For Suspension|Sodium Phenylbutyrate / Taurursodiol|Relyvrio|For Suspension|3GM/PACKET / 1GM/PACKET
remeron-15mg-tablet|Remeron 15mg Tablet|Mirtazapine|Remeron|Tablet|15mg
remeron-30mg-tablet|Remeron 30mg Tablet|Mirtazapine|Remeron|Tablet|30mg
remeron-45mg-federal-register-determination-that-product-was-not-discontinued-or|Remeron 45mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Mirtazapine|Remeron|Tablet|45mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
remeron-soltab-15mg-tablet-orally-disintegrating|Remeron Soltab 15mg Tablet, Orally Disintegrating|Mirtazapine|Remeron Soltab|Tablet, Orally Disintegrating|15mg
remeron-soltab-30mg-tablet-orally-disintegrating|Remeron Soltab 30mg Tablet, Orally Disintegrating|Mirtazapine|Remeron Soltab|Tablet, Orally Disintegrating|30mg
remeron-soltab-45mg-tablet-orally-disintegrating|Remeron Soltab 45mg Tablet, Orally Disintegrating|Mirtazapine|Remeron Soltab|Tablet, Orally Disintegrating|45mg
remicade-100mg-vial|Remicade 100mg Vial|Infliximab|Remicade|Vial|100mg
remifentanil-hydrochloride-eq-1mg-base-vial-injectable|Remifentanil Hydrochloride EQ 1mg BASE/VIAL Injectable|Remifentanil Hydrochloride||Injectable|EQ 1mg BASE/VIAL
remifentanil-hydrochloride-eq-2mg-base-vial-injectable|Remifentanil Hydrochloride EQ 2mg BASE/VIAL Injectable|Remifentanil Hydrochloride||Injectable|EQ 2mg BASE/VIAL
remifentanil-hydrochloride-eq-5mg-base-vial-injectable|Remifentanil Hydrochloride EQ 5mg BASE/VIAL Injectable|Remifentanil Hydrochloride||Injectable|EQ 5mg BASE/VIAL
remodulin-0-1mg-ml-injectable|Remodulin 0.1mg/mL Injectable|Treprostinil|Remodulin|Injectable|0.1mg/mL
remodulin-0-2mg-ml-injectable|Remodulin 0.2mg/mL Injectable|Treprostinil|Remodulin|Injectable|0.2mg/mL
remodulin-0-4mg-ml-injectable|Remodulin 0.4mg/mL Injectable|Treprostinil|Remodulin|Injectable|0.4mg/mL
remodulin-100mg-20ml-5mg-ml-solution|Remodulin 100mg/20mL (5mg/mL) Solution|Treprostinil|Remodulin|Solution|100mg/20mL (5mg/mL)
remodulin-10mg-ml-injectable|Remodulin 10mg/mL Injectable|Treprostinil|Remodulin|Injectable|10mg/mL
remodulin-1mg-ml-injectable|Remodulin 1mg/mL Injectable|Treprostinil|Remodulin|Injectable|1mg/mL
remodulin-2-5mg-ml-injectable|Remodulin 2.5mg/mL Injectable|Treprostinil|Remodulin|Injectable|2.5mg/mL
remodulin-200mg-20ml-10mg-ml-solution|Remodulin 200mg/20mL (10mg/mL) Solution|Treprostinil|Remodulin|Solution|200mg/20mL (10mg/mL)
remodulin-20mg-20ml-1mg-ml-solution|Remodulin 20mg/20mL (1mg/mL) Solution|Treprostinil|Remodulin|Solution|20mg/20mL (1mg/mL)
remodulin-20mg-ml-injectable|Remodulin 20mg/mL Injectable|Treprostinil|Remodulin|Injectable|20mg/mL
remodulin-50mg-20ml-2-5mg-ml-solution|Remodulin 50mg/20mL (2.5mg/mL) Solution|Treprostinil|Remodulin|Solution|50mg/20mL (2.5mg/mL)
remodulin-5mg-ml-injectable|Remodulin 5mg/mL Injectable|Treprostinil|Remodulin|Injectable|5mg/mL
remsed-25mg-tablet|Remsed 25mg Tablet|Promethazine Hydrochloride|Remsed|Tablet|25mg
remsed-50mg-tablet|Remsed 50mg Tablet|Promethazine Hydrochloride|Remsed|Tablet|50mg
renacidin-6-602gm-100ml-198mg-100ml-3-177gm-100ml-solution|Renacidin 6.602GM/100mL / 198mg/100mL / 3.177GM/100mL Solution|Citric Acid / Gluconolactone / Magnesium Carbonate|Renacidin|Solution|6.602GM/100mL / 198mg/100mL / 3.177GM/100mL
renagel-400mg-tablet|Renagel 400mg Tablet|Sevelamer Hydrochloride|Renagel|Tablet|400mg
renagel-403mg-capsule|Renagel 403mg Capsule|Sevelamer Hydrochloride|Renagel|Capsule|403mg
renagel-800mg-tablet|Renagel 800mg Tablet|Sevelamer Hydrochloride|Renagel|Tablet|800mg
renamin-w-o-electrolytes-6-5-6-5gm-100ml-injectable|Renamin W/O Electrolytes 6.5% (6.5GM/100mL) Injectable|Amino Acids|Renamin W/O Electrolytes|Injectable|6.5% (6.5GM/100mL)
renese-1mg-tablet|Renese 1mg Tablet|Polythiazide|Renese|Tablet|1mg
renese-2mg-tablet|Renese 2mg Tablet|Polythiazide|Renese|Tablet|2mg
renese-4mg-tablet|Renese 4mg Tablet|Polythiazide|Renese|Tablet|4mg
renese-r-2mg-0-25mg-tablet|Renese-R 2mg / 0.25mg Tablet|Polythiazide / Reserpine|Renese-R|Tablet|2mg / 0.25mg
renflexis-100mg-injectable|Renflexis 100mg Injectable|Infliximab-Abda|Renflexis|Injectable|100mg
reno-30-30-solution|Reno-30 30% Solution|Diatrizoate Meglumine|Reno-30|Solution|30%
reno-60-60-injectable|Reno-60 60% Injectable|Diatrizoate Meglumine|Reno-60|Injectable|60%
reno-dip-30-injectable|Reno-Dip 30% Injectable|Diatrizoate Meglumine|Reno-Dip|Injectable|30%
renocal-76-66-10-injectable|Renocal-76 66% / 10% Injectable|Diatrizoate Meglumine / Diatrizoate Sodium|Renocal-76|Injectable|66% / 10%
renografin-60-52-8-injectable|Renografin-60 52% / 8% Injectable|Diatrizoate Meglumine / Diatrizoate Sodium|Renografin-60|Injectable|52% / 8%
renografin-76-66-10-injectable|Renografin-76 66% / 10% Injectable|Diatrizoate Meglumine / Diatrizoate Sodium|Renografin-76|Injectable|66% / 10%
renoquid-250mg-tablet|Renoquid 250mg Tablet|Sulfacytine|Renoquid|Tablet|250mg
renormax-12mg-tablet|Renormax 12mg Tablet|Spirapril Hydrochloride|Renormax|Tablet|12mg
renormax-24mg-tablet|Renormax 24mg Tablet|Spirapril Hydrochloride|Renormax|Tablet|24mg
renormax-3mg-tablet|Renormax 3mg Tablet|Spirapril Hydrochloride|Renormax|Tablet|3mg
renormax-6mg-tablet|Renormax 6mg Tablet|Spirapril Hydrochloride|Renormax|Tablet|6mg
renotec-n-a-injectable|Renotec N/A Injectable|Technetium Tc-99m Ferpentetate Kit|Renotec|Injectable|N/A
renova-0-02-cream|Renova 0.02% Cream|Tretinoin|Renova|Cream|0.02%
renova-0-05-federal-register-determination-that-product-was-not-discontinued-or-|Renova 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Cream|Tretinoin|Renova|Cream|0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
renovist-34-3-35-injectable|Renovist 34.3% / 35% Injectable|Diatrizoate Meglumine / Diatrizoate Sodium|Renovist|Injectable|34.3% / 35%
renovist-ii-28-5-29-1-injectable|Renovist Ii 28.5% / 29.1% Injectable|Diatrizoate Meglumine / Diatrizoate Sodium|Renovist Ii|Injectable|28.5% / 29.1%
renovue-65-65-injectable|Renovue-65 65% Injectable|Iodamide Meglumine|Renovue-65|Injectable|65%
renovue-dip-24-injectable|Renovue-Dip 24% Injectable|Iodamide Meglumine|Renovue-Dip|Injectable|24%
renvela-2-4gm-packet-for-suspension|Renvela 2.4GM/PACKET For Suspension|Sevelamer Carbonate|Renvela|For Suspension|2.4GM/PACKET
renvela-800mg-tablet|Renvela 800mg Tablet|Sevelamer Carbonate|Renvela|Tablet|800mg
renvela-800mg-packet-for-suspension|Renvela 800mg/PACKET For Suspension|Sevelamer Carbonate|Renvela|For Suspension|800mg/PACKET
reopro-2mg-ml-injectable|Reopro 2mg/mL Injectable|Abciximab|Reopro|Injectable|2mg/mL
repaglinide-0-5mg-tablet|Repaglinide 0.5mg Tablet|Repaglinide||Tablet|0.5mg
repaglinide-1mg-tablet|Repaglinide 1mg Tablet|Repaglinide||Tablet|1mg
repaglinide-2mg-tablet|Repaglinide 2mg Tablet|Repaglinide||Tablet|2mg
repaglinide-and-metformin-hydrochloride-500mg-1mg-tablet|Repaglinide and Metformin Hydrochloride 500mg / 1mg Tablet|Metformin Hydrochloride / Repaglinide|Repaglinide and Metformin Hydrochloride|Tablet|500mg / 1mg
repaglinide-and-metformin-hydrochloride-500mg-2mg-tablet|Repaglinide and Metformin Hydrochloride 500mg / 2mg Tablet|Metformin Hydrochloride / Repaglinide|Repaglinide and Metformin Hydrochloride|Tablet|500mg / 2mg
repatha-140mg-ml-injectable|Repatha 140mg/mL Injectable|Evolocumab|Repatha|Injectable|140mg/mL
reprexain-10mg-200mg-tablet|Reprexain 10mg / 200mg Tablet|Hydrocodone Bitartrate / Ibuprofen|Reprexain|Tablet|10mg / 200mg
reprexain-2-5mg-200mg-tablet|Reprexain 2.5mg / 200mg Tablet|Hydrocodone Bitartrate / Ibuprofen|Reprexain|Tablet|2.5mg / 200mg
repronex-150-iu-vial-150-iu-vial-injectable|Repronex 150 IU/VIAL / 150 IU/VIAL Injectable|Menotropins (fsh / Lh)|Repronex|Injectable|150 IU/VIAL / 150 IU/VIAL
repronex-75-iu-vial-75-iu-vial-injectable|Repronex 75 IU/VIAL / 75 IU/VIAL Injectable|Menotropins (fsh / Lh)|Repronex|Injectable|75 IU/VIAL / 75 IU/VIAL
requip-eq-0-25mg-base-federal-register-determination-that-product-was-not-discon|Requip EQ 0.25mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 0.25mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-eq-0-5mg-base-federal-register-determination-that-product-was-not-discont|Requip EQ 0.5mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 0.5mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-eq-1mg-base-federal-register-determination-that-product-was-not-discontin|Requip EQ 1mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 1mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-eq-2mg-base-federal-register-determination-that-product-was-not-discontin|Requip EQ 2mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 2mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-eq-3mg-base-federal-register-determination-that-product-was-not-discontin|Requip EQ 3mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 3mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-eq-4mg-base-federal-register-determination-that-product-was-not-discontin|Requip EQ 4mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 4mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-eq-5mg-base-federal-register-determination-that-product-was-not-discontin|Requip EQ 5mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ropinirole Hydrochloride|Requip|Tablet|EQ 5mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-xl-eq-12mg-base-federal-register-determination-that-product-was-not-disco|Requip Xl EQ 12mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Extended Release|Ropinirole Hydrochloride|Requip Xl|Tablet, Extended Release|EQ 12mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-xl-eq-2mg-base-federal-register-determination-that-product-was-not-discon|Requip Xl EQ 2mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Extended Release|Ropinirole Hydrochloride|Requip Xl|Tablet, Extended Release|EQ 2mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-xl-eq-3mg-base-federal-register-determination-that-product-was-not-discon|Requip Xl EQ 3mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Extended Release|Ropinirole Hydrochloride|Requip Xl|Tablet, Extended Release|EQ 3mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-xl-eq-4mg-base-federal-register-determination-that-product-was-not-discon|Requip Xl EQ 4mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Extended Release|Ropinirole Hydrochloride|Requip Xl|Tablet, Extended Release|EQ 4mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-xl-eq-6mg-base-federal-register-determination-that-product-was-not-discon|Requip Xl EQ 6mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Extended Release|Ropinirole Hydrochloride|Requip Xl|Tablet, Extended Release|EQ 6mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
requip-xl-eq-8mg-base-federal-register-determination-that-product-was-not-discon|Requip Xl EQ 8mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet, Extended Release|Ropinirole Hydrochloride|Requip Xl|Tablet, Extended Release|EQ 8mg BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
rescriptor-100mg-tablet|Rescriptor 100mg Tablet|Delavirdine Mesylate|Rescriptor|Tablet|100mg
rescriptor-200mg-tablet|Rescriptor 200mg Tablet|Delavirdine Mesylate|Rescriptor|Tablet|200mg
rescula-0-15-federal-register-determination-that-product-was-not-discontinued-or|Rescula 0.15% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution/Drops|Unoprostone Isopropyl|Rescula|Solution/Drops|0.15% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
resectisol-5gm-100ml-solution|Resectisol 5GM/100mL Solution|Mannitol|Resectisol|Solution|5GM/100mL
resectisol-in-plastic-container-5gm-100ml-solution|Resectisol in Plastic Container 5GM/100mL Solution|Mannitol|Resectisol in Plastic Container|Solution|5GM/100mL
reserpine-0-1mg-tablet|Reserpine 0.1mg Tablet|Reserpine||Tablet|0.1mg
reserpine-0-25mg-tablet|Reserpine 0.25mg Tablet|Reserpine||Tablet|0.25mg
reserpine-0-5mg-tablet|Reserpine 0.5mg Tablet|Reserpine||Tablet|0.5mg
reserpine-1mg-tablet|Reserpine 1mg Tablet|Reserpine||Tablet|1mg
reserpine-and-hydrochlorothiazide-25mg-0-125mg-tablet|Reserpine and Hydrochlorothiazide 25mg / 0.125mg Tablet|Hydrochlorothiazide / Reserpine|Reserpine and Hydrochlorothiazide|Tablet|25mg / 0.125mg
reserpine-and-hydrochlorothiazide-50mg-0-125mg-tablet|Reserpine and Hydrochlorothiazide 50mg / 0.125mg Tablet|Hydrochlorothiazide / Reserpine|Reserpine and Hydrochlorothiazide|Tablet|50mg / 0.125mg
reserpine-and-hydrochlorothiazide-50-50mg-0-125mg-tablet|Reserpine and Hydrochlorothiazide-50 50mg / 0.125mg Tablet|Hydrochlorothiazide / Reserpine|Reserpine and Hydrochlorothiazide-50|Tablet|50mg / 0.125mg
reserpine-and-hydroflumethiazide-50mg-0-125mg-tablet|Reserpine and Hydroflumethiazide 50mg / 0.125mg Tablet|Hydroflumethiazide / Reserpine|Reserpine and Hydroflumethiazide|Tablet|50mg / 0.125mg
reserpine-hydralazine-hydrochloride-and-hydrochlorothiazide-25mg-15mg-0-1mg-tabl|Reserpine, Hydralazine Hydrochloride and Hydrochlorothiazide 25mg / 15mg / 0.1mg Tablet|Hydralazine Hydrochloride / Hydrochlorothiazide / Reserpine|Reserpine, Hydralazine Hydrochloride and Hydrochlorothiazide|Tablet|25mg / 15mg / 0.1mg
reserpine-hydrochlorothiazide-and-hydralazine-hydrochloride-25mg-15mg-0-1mg-tabl|Reserpine, Hydrochlorothiazide, and Hydralazine Hydrochloride 25mg / 15mg / 0.1mg Tablet|Hydralazine Hydrochloride / Hydrochlorothiazide / Reserpine|Reserpine, Hydrochlorothiazide, and Hydralazine Hydrochloride|Tablet|25mg / 15mg / 0.1mg
resniben-13mg-tablet|Resniben 13mg Tablet|Cabozantinib|Resniben|Tablet|13mg
resniben-26mg-tablet|Resniben 26mg Tablet|Cabozantinib|Resniben|Tablet|26mg
resniben-39mg-tablet|Resniben 39mg Tablet|Cabozantinib|Resniben|Tablet|39mg
resporal-6mg-120mg-tablet-extended-release|Resporal 6mg / 120mg Tablet, Extended Release|Dexbrompheniramine Maleate / Pseudoephedrine Sulfate|Resporal|Tablet, Extended Release|6mg / 120mg
restasis-0-05-emulsion|Restasis 0.05% Emulsion|Cyclosporine|Restasis|Emulsion|0.05%
restasis-multidose-0-05-emulsion|Restasis Multidose 0.05% Emulsion|Cyclosporine|Restasis Multidose|Emulsion|0.05%
restoril-15mg-capsule|Restoril 15mg Capsule|Temazepam|Restoril|Capsule|15mg
restoril-22-5mg-capsule|Restoril 22.5mg Capsule|Temazepam|Restoril|Capsule|22.5mg
restoril-30mg-capsule|Restoril 30mg Capsule|Temazepam|Restoril|Capsule|30mg
restoril-7-5mg-capsule|Restoril 7.5mg Capsule|Temazepam|Restoril|Capsule|7.5mg
retacrit-10-000units-ml-injectable|Retacrit 10,000UNITS/mL Injectable|Epoetin Alfa-Epbx|Retacrit|Injectable|10,000UNITS/mL
retacrit-2-000units-ml-injectable|Retacrit 2,000UNITS/mL Injectable|Epoetin Alfa-Epbx|Retacrit|Injectable|2,000UNITS/mL
retacrit-3-000units-ml-injectable|Retacrit 3,000UNITS/mL Injectable|Epoetin Alfa-Epbx|Retacrit|Injectable|3,000UNITS/mL
retacrit-4-000units-ml-injectable|Retacrit 4,000UNITS/mL Injectable|Epoetin Alfa-Epbx|Retacrit|Injectable|4,000UNITS/mL
retacrit-40-000units-ml-injectable|Retacrit 40,000UNITS/mL Injectable|Epoetin Alfa-Epbx|Retacrit|Injectable|40,000UNITS/mL
retavase-18-8mg-vial-vial|Retavase 18.8mg/VIAL Vial|Reteplase|Retavase|Vial|18.8mg/VIAL
retet-250mg-capsule|Retet 250mg Capsule|Tetracycline Hydrochloride|Retet|Capsule|250mg
retet-500mg-capsule|Retet 500mg Capsule|Tetracycline Hydrochloride|Retet|Capsule|500mg
retevmo-120mg-tablet|Retevmo 120mg Tablet|Selpercatinib|Retevmo|Tablet|120mg
retevmo-160mg-tablet|Retevmo 160mg Tablet|Selpercatinib|Retevmo|Tablet|160mg
retevmo-40mg-capsule|Retevmo 40mg Capsule|Selpercatinib|Retevmo|Capsule|40mg
retevmo-40mg-tablet|Retevmo 40mg Tablet|Selpercatinib|Retevmo|Tablet|40mg
retevmo-80mg-capsule|Retevmo 80mg Capsule|Selpercatinib|Retevmo|Capsule|80mg
retevmo-80mg-tablet|Retevmo 80mg Tablet|Selpercatinib|Retevmo|Tablet|80mg
retin-a-0-01-gel|Retin-A 0.01% Gel|Tretinoin|Retin-A|Gel|0.01%
retin-a-0-025-cream|Retin-A 0.025% Cream|Tretinoin|Retin-A|Cream|0.025%
retin-a-0-025-gel|Retin-A 0.025% Gel|Tretinoin|Retin-A|Gel|0.025%
retin-a-0-05-cream|Retin-A 0.05% Cream|Tretinoin|Retin-A|Cream|0.05%
retin-a-0-05-solution|Retin-A 0.05% Solution|Tretinoin|Retin-A|Solution|0.05%
retin-a-0-05-swab|Retin-A 0.05% Swab|Tretinoin|Retin-A|Swab|0.05%
retin-a-0-1-cream|Retin-A 0.1% Cream|Tretinoin|Retin-A|Cream|0.1%
retin-a-micro-0-04-gel|Retin-A Micro 0.04% Gel|Tretinoin|Retin-A Micro|Gel|0.04%
retin-a-micro-0-1-gel|Retin-A Micro 0.1% Gel|Tretinoin|Retin-A Micro|Gel|0.1%
retin-a-micro-0-06-gel|Retin-A-Micro 0.06% Gel|Tretinoin|Retin-A-Micro|Gel|0.06%
retin-a-micro-0-08-gel|Retin-A-Micro 0.08% Gel|Tretinoin|Retin-A-Micro|Gel|0.08%
retisert-0-59mg-implant|Retisert 0.59mg Implant|Fluocinolone Acetonide|Retisert|Implant|0.59mg
retrovir-100mg-capsule|Retrovir 100mg Capsule|Zidovudine|Retrovir|Capsule|100mg
retrovir-10mg-ml-injectable|Retrovir 10mg/mL Injectable|Zidovudine|Retrovir|Injectable|10mg/mL
retrovir-200mg-tablet|Retrovir 200mg Tablet|Zidovudine|Retrovir|Tablet|200mg
retrovir-300mg-federal-register-determination-that-product-was-not-discontinued-|Retrovir 300mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Zidovudine|Retrovir|Tablet|300mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
retrovir-50mg-5ml-solution|Retrovir 50mg/5mL Solution|Zidovudine|Retrovir|Solution|50mg/5mL
revatio-eq-10mg-base-12-5ml-eq-0-8mg-base-ml-solution|Revatio EQ 10mg BASE/12.5mL (EQ 0.8mg BASE/mL) Solution|Sildenafil Citrate|Revatio|Solution|EQ 10mg BASE/12.5mL (EQ 0.8mg BASE/mL)
revatio-eq-10mg-base-ml-for-suspension|Revatio EQ 10mg BASE/mL For Suspension|Sildenafil Citrate|Revatio|For Suspension|EQ 10mg BASE/mL
revatio-eq-20mg-base-tablet|Revatio EQ 20mg BASE Tablet|Sildenafil Citrate|Revatio|Tablet|EQ 20mg BASE
revcovi-1-6mg-ml-injectable|Revcovi 1.6mg/mL Injectable|Elapegademase-Lvlr|Revcovi|Injectable|1.6mg/mL
reversol-10mg-ml-injectable|Reversol 10mg/mL Injectable|Edrophonium Chloride|Reversol|Injectable|10mg/mL
revex-eq-0-1mg-base-ml-eq-0-1mg-base-ml-federal-register-determination-that-prod|Revex EQ 0.1mg BASE/mL (EQ 0.1mg BASE/mL) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution|Nalmefene Hydrochloride|Revex|Solution|EQ 0.1mg BASE/mL (EQ 0.1mg BASE/mL) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
revex-eq-2mg-base-2ml-eq-1mg-base-ml-federal-register-determination-that-product|Revex EQ 2mg BASE/2mL (EQ 1mg BASE/mL) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Solution|Nalmefene Hydrochloride|Revex|Solution|EQ 2mg BASE/2mL (EQ 1mg BASE/mL) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
revia-50mg-federal-register-determination-that-product-was-not-discontinued-or-w|Revia 50mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Naltrexone Hydrochloride|Revia|Tablet|50mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
revlimid-10mg-capsule|Revlimid 10mg Capsule|Lenalidomide|Revlimid|Capsule|10mg
revlimid-15mg-capsule|Revlimid 15mg Capsule|Lenalidomide|Revlimid|Capsule|15mg
revlimid-2-5mg-capsule|Revlimid 2.5mg Capsule|Lenalidomide|Revlimid|Capsule|2.5mg
revlimid-20mg-capsule|Revlimid 20mg Capsule|Lenalidomide|Revlimid|Capsule|20mg
revlimid-25mg-capsule|Revlimid 25mg Capsule|Lenalidomide|Revlimid|Capsule|25mg
revlimid-5mg-capsule|Revlimid 5mg Capsule|Lenalidomide|Revlimid|Capsule|5mg
revonto-20mg-vial-injectable|Revonto 20mg/VIAL Injectable|Dantrolene Sodium|Revonto|Injectable|20mg/VIAL
revtorpyk-180mg-vial-powder|Revtorpyk 180mg/VIAL Powder|Gedatolisib|Revtorpyk|Powder|180mg/VIAL
revuforj-eq-110mg-base-tablet|Revuforj EQ 110mg BASE Tablet|Revumenib Citrate|Revuforj|Tablet|EQ 110mg BASE
revuforj-eq-160mg-base-tablet|Revuforj EQ 160mg BASE Tablet|Revumenib Citrate|Revuforj|Tablet|EQ 160mg BASE
revuforj-eq-25mg-base-tablet|Revuforj EQ 25mg BASE Tablet|Revumenib Citrate|Revuforj|Tablet|EQ 25mg BASE
rextovy-4mg-spray-spray-metered|Rextovy 4mg/SPRAY Spray, Metered|Naloxone Hydrochloride|Rextovy|Spray, Metered|4mg/SPRAY
rexulti-0-25mg-tablet|Rexulti 0.25mg Tablet|Brexpiprazole|Rexulti|Tablet|0.25mg
rexulti-0-5mg-tablet|Rexulti 0.5mg Tablet|Brexpiprazole|Rexulti|Tablet|0.5mg
